Vertex,Edge,Time_ms
5000,10000,7
10000,20000,12
15000,30000,15
20000,40000,18
25000,50000,22
30000,60000,27
35000,70000,31
40000,80000,36
45000,90000,40
50000,100000,46
55000,110000,49
60000,120000,56
65000,130000,61
70000,140000,67
75000,150000,72
80000,160000,76
85000,170000,79
90000,180000,85
95000,190000,90
100000,200000,93
105000,210000,102
110000,220000,112
115000,230000,114
120000,240000,120
125000,250000,123
130000,260000,129
135000,270000,131
140000,280000,141
145000,290000,146
150000,300000,160
155000,310000,155
160000,320000,160
165000,330000,166
170000,340000,183
175000,350000,186
180000,360000,220
185000,370000,213
190000,380000,229
195000,390000,220
200000,400000,223
205000,410000,240
210000,420000,287
215000,430000,286
220000,440000,280
225000,450000,327
230000,460000,313
235000,470000,323
240000,480000,383
245000,490000,368
250000,500000,421
